,NU_SEQUENCIAL;NU_ANO;CO_ESCOLA;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO
0,206403;2024;23052929;2301406;Aratuba;23;CE;2;1;1;2301406;Aratuba;23;CE;1;1;1;1;1420;1383;1395;1408;436.8;377.8;423.4;427.1;CAABADDBBBACACACDEABDBABDDCCBACDCCBAACCABCBAC;BEABBCDABCDBAEEBDDABCCDAADDABACDDAB..........;BCADBCDCEDBDDBDDCDBCBB*BBDEAEEBCDCABBDDAAECEE;CBDCCADBBECCBADEACCBDCACECDDABBDBADBAAEDBCCAB;1;CAEDAACCAEEXCBBAEDBBCAACDEDCBCEECAAEDDDEBBDDB;CECEBEBCDBADDEBBABCDCAECEDADBAEABEADCEDADACBC;CAAAECDDDAECBECEDDCBDEDDCECBDCBCEADBBDBDDCBEDADEEB;CECEBEDADCAADECDBBCEBDCCCACABBABBADDDCEADBBCE;1;80;60;60;80;20;300
1,3604651;2024;42103770;4218004;Tijucas;42;SC;4;1;1;4218004;Tijucas;42;SC;1;1;1;1;1422;1384;1396;1410;521.9;601.9;605.5;689.2;EBDEEADAECCAAEDBBEDABACDBCEEDDDEDBDDABDBCCECA;BADBACDAECEDEABBEADDBBDEBEDADEDEEACBBECABCEDA;AACEACADECBCDAEEBEDCBCBEDDCDEAEDEBDABDCECDDDB;DBAEDBECBDDBCCBBABBDECCCCEECBACCDBCDAAABBAAAD;0;BBCEDBBAEXCCAEDDBCAEDAACAAEDDDEBBECBCEEDCAACD;DADABCDCECEDEBBBEBCDBADACBCADCEBEADBAECAECEDA;AACEADDDACDADECBBDBEEBDDECCBEDDCADBBDEBCEBDCECEDDC;DBCECEACADABBECBEDADCCDCCABBBCECEBCEADABBADDD;1;160;200;200;180;180;920
2,1461268;2024;;;;;;;;;4122404;Rolândia;41;PR;1;1;1;1;1419;1385;1398;1407;363;548.4;557.2;456.4;CABAECDBADDCDEACABEACEABEDDCEDCDCCBDBDBDDBDCC;DAEDBCDCEBCCECADDACABDEBDCDECEDBEABECBCBBDBCD;BBCABCACDDEECCBCECECADEECCBEADBBEDBDDDEDDEECB;EBADBEDDDBCBCBCDCCECAAADDDECCDBDACACCEAEACDAC;1;BCEAACDEDCAAEDDDEBBDDBECCAEDBBAAACCAEEXCBBCED;CAEDBADBEBCCEDADBAEACBCADCEDEBBEBACECEABCDDAD;EAAACDDCDADDCBDEECEECBDCDADEEBCBEBADBCEBDBDDDDCECB;ABBABBADDDBBCECEADCEBCCCDBADCBEDAECADACDBCECE;1;120;120;40;120;80;480
3,4301058;2024;;;;;;;;;3534401;Osasco;35;SP;1;1;1;1;1421;1386;1397;1409;550.7;553.8;605.9;629.1;DDAAECECCBDBECBCBEAAADCBDDBBBEDADBDCCEEBCDAAD;ACCEADCEBDEECEDCCAADBBBCBCEABCD*AECAA........;AACEACBEDBAEEBEABDABCECDBACDCDDDCADEDDDECBEDE;BBBCDACDCABADAEACCECBCDAECECECCECBDEDABEDBCBA;0;DDBDDEBBAAEDECBCEEDCAACDBBCEDBBAEXCCAEAACCAED;ACBCADCEDBAECEDADBADBEBCDADABCDEABCAEDEBBCECE;AACEADACDDCBEDADEEBDDBDBBCEECBDCBADDDCBDEDDCECBECE;CEBCEADBBCEADDDABBABBCCDCCECEDBACADECABEDADCB;1;140;200;160;160;80;740
4,3148322;2024;21150354;2100436;Alto Alegre do Maranhão;21;MA;2;1;1;2111508;São Mateus do Maranhão;21;MA;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;
5,1035588;2024;;;;;;;;;2408102;Natal;24;RN;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;
6,3587454;2024;15585689;1501402;Belém;15;PA;4;1;1;1501402;Belém;15;PA;1;2;2;1;1420;;;1408;486.7;;;525.1;ECCDAACEAACCBAABCBBDBAECBDBCACBEEDBDDADEADDAC;;;DCBBBBEAACECBBCBBACBCACCBDDCCAAEBBBDBECBDDABC;0;CAEDAACCAEEXCBBAEDBBCAACDEDCBCEECAAEDDDEBBDDB;;;CECEBEDADCAADECDBBCEBDCCCACABBABBADDDCEADBBCE;;;;;;;
7,140768;2024;;;;;;;;;2408102;Natal;24;RN;1;1;1;1;1419;1385;1398;1407;482.7;531.6;439.2;496.7;BECBCDCEECCDDEDDAAACCEDBEEEBABBEEBEDEEEDDDDDC;CABEECBCBACCDCAABEDABDEAAEEDEEDBCADECEABCDDCD;BDC*ABDCBCDEEDABECBCBEDEACEDAECECEDDDDDCABDDE;DCCDBEDCCCCADDD*ACBAEBCDCEEECDEDAEBEDDDEBCADC;1;BCEAACDEDCAAEDDDEBBDDBECCAEDBBAAACCAEEXCBBCED;CAEDBADBEBCCEDADBAEACBCADCEDEBBEBACECEABCDDAD;EAAACDDCDADDCBDEECEECBDCDADEEBCBEBADBCEBDBDDDDCECB;ABBABBADDDBBCECEADCEBCCCDBADCBEDAECADACDBCECE;1;100;80;60;120;0;360
8,3541867;2024;;;;;;;;;3156700;Sabará;31;MG;0;2;2;0;;;;;;;;;;;;;1;;;;;;;;;;;
9,3371353;2024;;;;;;;;;3520509;Indaiatuba;35;SP;1;1;1;1;1420;1383;1395;1408;599.5;640.3;597.6;665.3;EAEEADBCAABDCEBAEDACBDECCDBDBCEEBADCEEDEADDDD;CECEBEBEDCCDCEDBABCDCAACEDADEAEAAEADECDEDACBE;CAAAEACBECDDDBBDEDCCECEACBCDAAABDBEBBBEBADEEB;CEAAAEEABBAACCAABCCEAECCCECBCCCCBAADDCBDDBBDD;0;CAEDAACCAEEXCBBAEDBBCAACDEDCBCEECAAEDDDEBBDDB;CECEBEBCDBADDEBBABCDCAECEDADBAEABEADCEDADACBC;CAAAECDDDAECBECEDDCBDEDDCECBDCBCEADBBDBDDCBEDADEEB;CECEBEDADCAADECDBBCEBDCCCACABBABBADDDCEADBBCE;1;120;200;120;120;200;760
